,precision,recall,f1-score,support
0,0.9423076923076923,0.98,0.9607843137254902,200.0
1,0.9680851063829787,0.91,0.9381443298969072,200.0
2,0.8779342723004695,0.935,0.9055690072639225,200.0
3,0.8900523560209425,0.85,0.8695652173913043,200.0
accuracy,0.91875,0.91875,0.91875,0.91875
macro avg,0.9195948567530208,0.9187500000000001,0.918515717069406,800.0
weighted avg,0.9195948567530207,0.91875,0.918515717069406,800.0
