,precision,recall,f1-score,support
0,0.8778280542986425,0.97,0.9216152019002375,200.0
1,0.9840425531914894,0.925,0.9536082474226805,200.0
2,0.9040404040404041,0.895,0.8994974874371859,200.0
3,0.8756476683937824,0.845,0.8600508905852418,200.0
accuracy,0.90875,0.90875,0.90875,0.90875
macro avg,0.9103896699810796,0.90875,0.9086929568363364,800.0
weighted avg,0.9103896699810796,0.90875,0.9086929568363363,800.0
