,precision,recall,f1-score,support
0,0.8888888888888888,0.96,0.9230769230769231,200.0
1,0.8277511961722488,0.865,0.8459657701711492,200.0
2,0.8670886075949367,0.685,0.7653631284916201,200.0
3,0.7419354838709677,0.805,0.7721822541966427,200.0
accuracy,0.82875,0.82875,0.82875,0.82875
macro avg,0.8314160441317606,0.82875,0.8266470189840838,800.0
weighted avg,0.8314160441317604,0.82875,0.8266470189840837,800.0
