,precision,recall,f1-score,support
0,0.9591836734693877,0.94,0.9494949494949495,200.0
1,0.9095238095238095,0.955,0.9317073170731708,200.0
2,0.8974358974358975,0.875,0.8860759493670886,200.0
3,0.8542713567839196,0.85,0.8521303258145363,200.0
accuracy,0.905,0.905,0.905,0.905
macro avg,0.9051036843032535,0.905,0.9048521354374364,800.0
weighted avg,0.9051036843032536,0.905,0.9048521354374361,800.0
